id,f1,f2,f3,f4,class,
1,7.2,3,5.8,1.6,2,
2,4.9,3,1.4,0.2,0,
3,5.6,2.5,3.9,1.1,1,
4,4.9,2.5,4.5,1.7,1,
5,4.6,3.6,1,0.2,0,
6,7.7,3,6.1,2.3,2,
7,5.1,3.8,1.9,0.4,0,
8,6.4,2.8,5.6,2.1,2,
9,5.6,2.7,4.2,1.3,1,
10,6.1,2.9,4.7,1.4,1,
11,5.1,3.3,1.7,0.5,0,
12,6.1,2.8,4,1.3,1,
13,6.7,3.3,5.7,2.5,2,
14,5.4,3.7,1.5,0.2,0,
15,6.4,2.8,5.6,2.2,2,
16,5.1,2.5,3,1.1,1,
17,5.8,2.8,5.1,2.4,2,
18,6.4,2.7,5.3,1.9,2,
19,6.5,3,5.8,2.2,2,
20,6.5,2.8,4.6,1.5,1,
21,6.9,3.1,4.9,1.5,2,
22,4.7,3.2,1.3,0.2,0,
23,6.6,3,4.4,1.4,1,
24,6.2,2.9,4.3,1.3,1,
25,4.8,3.4,1.6,0.2,0,
26,6.3,2.5,5,1.9,2,
27,4.4,2.9,1.4,0.2,0,
28,6.8,3,5.5,2.1,2,
29,5.8,2.7,4.1,1,1,
30,5,2.3,3.3,1,1,
