Province,Cover_rate,GDP,CULTURE,rank
重庆市,43.1,87450,2.761,2
浙江省,59.4,113839,6.202,3
云南省,55,57717,7.145,3
新疆维吾尔自治区,4.9,62991,0.275,1
西藏自治区,12.1,56831,0.442,1
天津市,12.1,113660,0.147,2
四川省,38,64610,4.927,2
上海市,14,175420,0.608,2
陕西省,43.1,76171,2.17,2
山西省,20.5,65625,0.574,2
山东省,17.5,81510,0.731,2
青海省,5.8,57036,0.098,1
宁夏回族自治区,12.6,63461,0.709,1
内蒙古自治区,22.1,88137,0.729,2
辽宁省,39.2,64992,2.78,2
江西省,61.2,66020,5.398,3
江苏省,15.2,138255,0.799,2
吉林省,41.5,55148,4.463,2
湖南省,49.7,68913,3.013,2
湖北省,39.6,86551,2.031,2
黑龙江省,43.8,47199,4.674,2
河南省,24.1,58587,1.124,2
河北省,26.8,54181,0.735,2
海南省,57.4,63991,6.517,3
贵州省,43.8,50476,3.747,2
广西壮族自治区,60.2,50137,5.017,2
广东省,53.5,98561,3.782,2
甘肃省,11.3,40976,0.44,1
福建省,66.8,118750,6.926,3
北京市,43.8,187526,6.972,3
安徽省,28.7,69676,2.088,2

